Hydrogen,H,1,1.0079
Helium,He,2,4.00260
Lithium,Li,3,6.941
Beryllium,Be,4,9.01218
Boron,B,5,10.81
Carbon,C,6,12.011
Nitrogen,N,7,14.0067
Oxygen,O,8,15.9994
Fluorine,F,9,18.998403
Neon,Ne,10,20.179
Sodium,Na,11,22.98977
Magnesium,Mg,12,24.305
Aluminum,Al,13,26.98154
Silicon,Si,14,28.0855
Phosphorus,P,15,30.97376
Sulfur,S,16,32.06
Chlorine,Cl,17,35.453
Argon,Ar,18,39.948
Potassium,K,19,39.0983
Calcium,Ca,20,40.08
Scandium,Sc,21,44.9559
Titanium,Ti,22,47.90
Vanadium,V,23,50.9415
Chromium,Cr,24,51.996
Manganese,Mn,25,54.9380
Iron,Fe,26,55.847
Cobalt,Co,27,58.9332
Nickel,Ni,28,58.70
Copper,Cu,29,63.546
Zinc,Zn,30,65.38
Gallium,Ga,31,69.72
Germanium,Ge,32,72.59
Arsenic,As,33,74.9216
Selenium,Se,34,78.96
Bromine,Br,35,79.904
Krypton,Kr,36,83.80
Rubidium,Rb,37,85.4678
Strontium,Sr,38,87.62
Yttrium,Y,39,88.9059
Zirconium,Zr,40,91.22
Niobium,Nb,41,92.9064
Molybdenum,Mo,42,95.94
Technetium,Tc,43,[98]
Ruthenium,Ru,44,101.07
Rhodium,Rh,45,102.9055
Palladium,Pd,46,106.4
Silver,Ag,47,107.868
Cadmium,Cd,48,112.41
Indium,In,49,114.82
Tin,Sn,50,118.69
Antimony,Sb,51,121.75
Tellurium,Te,52,127.60
Iodine,I,53,126.9045
Xenon,Xe,54,131.30
Cesium,Cs,55,132.9054
Barium,Ba,56,137.33
Lanthanum,La,57,138.9055
Cerium,Ce,58,140.12
Praseodymium,Pr,59,140.9077
Neodymium,Nd,60,144.24
Promethium,Pm,61,[145]
Samarium,Sm,62,150.4
Europium,Eu,63,151.96
Gadolinium,Gd,64,157.25
Terbium,Tb,65,158.9254
Dysprosium,Dy,66,162.50
Holmium,Ho,67,164.9304
Erbium,Er,68,167.26
Thulium,Tm,69,168.9342
Ytterbium,Yb,70,173.04
Lutetium,Lu,71,174.967
Hafnium,Hf,72,178.49
Tantalum,Ta,73,180.9479
Tungsten,W,74,183.85
Rhenium,Re,75,186.207
Osmium,Os,76,190.2
Iridium,Ir,77,192.22
Platinum,Pt,78,195.09
Gold,Au,79,196.9665
Mercury,Hg,80,200.59
Thallium,Tl,81,204.37
Lead,Pb,82,207.2
Bismuth,Bi,83,208.9804
Polonium,Po,84,[209]
Astatine,At,85,[210]
Radon,Rn,86,[222]
Francium,Fr,87,[223]
Radium,Ra,88,226.0254
Actinium,Ac,89,227.0278
Thorium,Th,90,232.0381
Protactinium,Pa,91,231.0359
Uranium,U,92,238.029
Neptunium,Np,93,237.0482
Plutonium,Pu,94,[244]
Americium,Am,95,[243]
Curium,Cm,96,[247]
Berkelium,Bk,97,[247]
Californium,Cf,98,[251]
Einsteinium,Es,99,[254]
Fermium,Fm,100,[257]
Mendelevium,Md,101,[258]
Nobelium,No,102,[259]
Lawrencium,Lr,103,[260]
Rutherfordium,Rf,104,[267]
Dubnium,Db,105,[270]
Seaborgium,Sg,106,[271]
Bohrium,Bh,107,[270]
Hassium,Hs,108,[277]
Meitnerium,Mt,109,[278]
Darmstadtium,Ds,110,[281]
Roentgenium,Rg,111,[282]
Copernicium,Cn,112,[285]
Nihonium,Nh,113,[286]
Flerovium,Fl,114,[289]
Moscovium,Mc,115,[290]
Livermorium,Lv,116,[293]
Tennessine,Ts,117,[294]
Oganesson,Og,118,[294]
